16:37:04 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
16:50:56 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
17:46:12 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
18:08:17 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
18:11:45 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository!18:21:54 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository!18:22:51 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository!18:25:10 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository! 
22:54:19 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository! 
23:07:53 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository! 
23:07:53 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Authorised., Message : Authorised 
23:07:53 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Completed successfully., Message : Completed 
23:07:53 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository! 
23:07:53 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Authorised., Message : Authorised 
23:07:53 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Completed successfully., Message : Completed 
23:07:53 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository! 
23:07:53 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Authorised., Message : Authorised 
23:07:53 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Completed successfully., Message : Completed 
23:07:53 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository! 
